lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
8/28/2020,Rappahannock,534,32,549,32
8/28/2020,Rappahannock Rapidan,211,10,231,19
8/28/2020,Richmond,465,29,484,31
8/28/2020,Roanoke,390,30,406,31
8/28/2020,Southside,118,11,122,11
8/28/2020,Thomas Jefferson,477,53,495,57
8/28/2020,Three Rivers,234,11,242,12
8/28/2020,Unknown,37,3,38,3
8/28/2020,Virginia Beach,706,40,733,43
8/28/2020,Western Tidewater,285,31,292,31
8/28/2020,West Piedmont,139,25,147,27
8/27/2020,Alexandria,318,14,345,18
8/27/2020,Alleghany,150,8,164,9
8/27/2020,Arlington,419,27,454,30
8/27/2020,Central Shenandoah,292,57,302,59
8/27/2020,Central Virginia,868,70,883,70
8/27/2020,Chesapeake,338,52,358,54
8/27/2020,Chesterfield,622,46,704,57
8/27/2020,Chickahominy,198,13,216,13
8/27/2020,Crater,269,31,290,31
8/27/2020,Cumberland Plateau,64,2,70,2
8/27/2020,Eastern Shore,70,3,72,3
8/27/2020,Fairfax,1692,87,1889,100
8/27/2020,Hampton,151,15,156,16
8/27/2020,Henrico,762,53,822,56
8/27/2020,Lenowisco,181,8,191,11
8/27/2020,Lord Fairfax,277,9,283,10
8/27/2020,Loudoun,662,45,717,48
8/27/2020,Mount Rogers,245,33,263,44
8/27/2020,New River,372,66,391,66
8/27/2020,Norfolk,510,28,522,31
8/27/2020,Out of State,353,25,363,26
8/27/2020,Peninsula,578,76,592,77
8/27/2020,Piedmont,143,13,151,13
8/27/2020,Pittsylvania-Danville,231,36,235,37
8/27/2020,Portsmouth,219,29,220,30
8/27/2020,Prince William,711,69,769,77
8/27/2020,Rappahannock,458,37,485,38
8/27/2020,Rappahannock Rapidan,178,11,199,17
8/27/2020,Richmond,506,26,542,27
8/27/2020,Roanoke,158,7,180,7
8/27/2020,Southside,112,14,115,14
8/27/2020,Thomas Jefferson,454,39,468,41
8/27/2020,Three Rivers,183,7,191,10
8/27/2020,Unknown,26,2,26,2
8/27/2020,Virginia Beach,662,45,686,46
8/27/2020,Western Tidewater,482,79,487,79
8/27/2020,West Piedmont,143,18,150,20
8/26/2020,Alexandria,387,14,405,14
8/26/2020,Alleghany,213,19,230,20
8/26/2020,Arlington,462,30,498,37
8/26/2020,Central Shenandoah,329,36,344,38
8/26/2020,Central Virginia,544,70,551,72
8/26/2020,Chesapeake,443,53,453,56
8/26/2020,Chesterfield,694,38,739,42
8/26/2020,Chickahominy,240,10,259,14
8/26/2020,Crater,387,48,392,48
8/26/2020,Cumberland Plateau,64,3,65,3
8/26/2020,Eastern Shore,67,1,67,1
8/26/2020,Fairfax,2358,139,2564,159
8/26/2020,Hampton,175,20,181,21
8/26/2020,Henrico,833,43,873,46
