lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
8/27/2020,West Piedmont,141,16,147,18
8/26/2020,Alexandria,382,13,399,13
8/26/2020,Alleghany,217,19,224,20
8/26/2020,Arlington,455,30,491,37
8/26/2020,Central Shenandoah,329,36,343,37
8/26/2020,Central Virginia,544,70,549,71
8/26/2020,Chesapeake,436,49,446,52
8/26/2020,Chesterfield,693,38,718,41
8/26/2020,Chickahominy,240,10,256,13
8/26/2020,Crater,386,47,387,47
8/26/2020,Cumberland Plateau,63,2,64,2
8/26/2020,Eastern Shore,55,1,55,1
8/26/2020,Fairfax,2305,138,2491,156
8/26/2020,Hampton,168,14,174,15
8/26/2020,Henrico,833,43,854,46
8/26/2020,Lenowisco,162,7,166,10
8/26/2020,Lord Fairfax,387,12,394,14
8/26/2020,Loudoun,657,44,703,52
8/26/2020,Mount Rogers,217,21,235,31
8/26/2020,New River,573,73,583,75
8/26/2020,Norfolk,502,53,512,54
8/26/2020,Out of State,642,28,648,31
8/26/2020,Peninsula,518,45,535,45
8/26/2020,Piedmont,134,10,139,10
8/26/2020,Pittsylvania-Danville,258,26,258,26
8/26/2020,Portsmouth,379,37,379,37
8/26/2020,Prince William,941,95,992,101
8/26/2020,Rappahannock,541,42,568,42
8/26/2020,Rappahannock Rapidan,257,23,277,29
8/26/2020,Richmond,675,29,688,32
8/26/2020,Roanoke,662,46,670,46
8/26/2020,Southside,167,16,171,16
8/26/2020,Thomas Jefferson,694,40,711,41
8/26/2020,Three Rivers,223,10,233,12
8/26/2020,Unknown,32,3,32,3
8/26/2020,Virginia Beach,785,37,824,42
8/26/2020,Western Tidewater,388,37,398,38
8/26/2020,West Piedmont,137,14,140,14
8/25/2020,Alexandria,189,10,207,14
8/25/2020,Alleghany,139,8,141,9
8/25/2020,Arlington,342,20,367,22
8/25/2020,Central Shenandoah,188,9,190,10
8/25/2020,Central Virginia,282,27,286,27
8/25/2020,Chesapeake,264,27,269,29
8/25/2020,Chesterfield,480,28,492,31
8/25/2020,Chickahominy,167,11,174,13
8/25/2020,Crater,253,51,253,51
8/25/2020,Cumberland Plateau,52,2,54,3
8/25/2020,Eastern Shore,42,3,43,4
8/25/2020,Fairfax,1474,79,1582,92
8/25/2020,Hampton,122,16,127,16
8/25/2020,Henrico,657,58,672,62
8/25/2020,Lenowisco,56,7,65,12
8/25/2020,Lord Fairfax,283,6,292,7
8/25/2020,Loudoun,504,24,545,27
8/25/2020,Mount Rogers,130,10,143,22
8/25/2020,New River,511,26,511,26
8/25/2020,Norfolk,382,24,385,24
8/25/2020,Out of State,570,30,570,30
8/25/2020,Peninsula,280,32,284,32
8/25/2020,Piedmont,94,9,94,9
8/25/2020,Pittsylvania-Danville,171,35,178,35
8/25/2020,Portsmouth,131,13,132,14
8/25/2020,Prince William,654,58,687,64
8/25/2020,Rappahannock,317,30,325,30
8/25/2020,Rappahannock Rapidan,120,12,131,14
8/25/2020,Richmond,423,27,426,27
8/25/2020,Roanoke,545,29,548,30
8/25/2020,Southside,110,7,110,7
8/25/2020,Thomas Jefferson,427,31,432,31
8/25/2020,Three Rivers,141,9,142,9
8/25/2020,Unknown,19,1,23,5
8/25/2020,Virginia Beach,560,33,576,35
8/25/2020,Western Tidewater,214,30,215,30
8/25/2020,West Piedmont,89,22,100,26
8/24/2020,Alexandria,191,10,200,11
8/24/2020,Alleghany,71,9,72,9
8/24/2020,Arlington,281,11,295,12
8/24/2020,Central Shenandoah,171,22,176,22
8/24/2020,Central Virginia,172,20,181,20
8/24/2020,Chesapeake,235,37,236,37
8/24/2020,Chesterfield,429,25,459,29
8/24/2020,Chickahominy,149,17,150,17
8/24/2020,Crater,186,20,188,21
8/24/2020,Cumberland Plateau,29,0,29,0
8/24/2020,Eastern Shore,36,0,36,0
8/24/2020,Fairfax,1506,101,1592,112
8/24/2020,Hampton,99,10,101,10
